Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
MNI;Telekomunikacja;0,85;B                        ;4,3;31,4884996741111;+72%;2,55;1,58;0,37;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,69;0,36;2,63;0,14;3,11;1,46;2014-01-01 - 2014-12-31;11,65%
MOJ;Elektromasz.;0,85;BB+                      ;5,35;53,257131239141;+184%;3,75;3,5;1,08;0,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,65;1,77;5,41;0,69;5,63;2,42;2008-01-01 - 2008-12-31;2,37%
MONNARI;Handel detaliczny;14,4;AAA                      ;14,18;57,714444374389;-27%;5,43;5,42;3,5;15,2;8,61;10,32;11,94;11,41;13,99;4,19;18,79;9,55;10,52; - ;brak
MOSTALPLC;Budownictwo;13,13;AA-                      ;7,08;31,12975;+3%;18,46;18,36;8,5;2,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;21,9;1,19;23,98;3,13;37,8;13,48;2014-01-01 - 2014-12-31;7,13%
MOSTALZAB;Budownictwo;1,26;A-                       ;6,58;51,9922163762327;0%;1,91;1,89;0,62;1,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,26;1,43;2,57;1,79;3,95;1,26;2014-01-01 - 2014-12-31;2,49%
MUZA;Media;4,5;B+                       ;4,72;49,5114127583895;+13%;8;5,75;2,13;2,4;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,98;7,42;11,11;5,16;10,97;5,06;2002-01-01 - 2002-12-31;8,06%
MWTRADE;Inne;16,1;CCC                      ;3,04;13,9235774840061;-17%;10,03;10;-32,94;23,1;Wycena niemozliwa;16,56;18,74;12,24;25,26;50,03;3,82;12,54;13,30;2014-01-01 - 2014-12-31;5,35%
NETIA;Telekomunikacja;4,58;A-                       ;6,44;30,4564844293895;-12%;5,85;4,65;2,22;0,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;6,16;0,95;6,15;0,99;7,72;4,04;2014-01-01 - 2014-12-31;9,05%
NETMEDIA;Inne;5,85;AA+                      ;8,02;32,7229238020059;+126%;7,57;4,75;3,37;5,7;8,99;Wycena niemozliwa;Wycena niemozliwa;17,71;10,01;57,34;10,35;40;13,21; - ;brak
ODLEWNIE;Metalowy;3,68;CCC+                     ;3,35;27,6851940617266;+27%;2,11;2,07;0,69;5,8;3,78;3,95;4,57;2,51;6,59;4,47;7,87;4,34;4,67; - ;brak
OPONEO.PL;Handel detaliczny;28,8;BBB+                     ;6,33;31,8480840987371;-57%;5,81;3,5;2,77;7,6;9,38;6,7;7;12,2;11,11;17,99;16,49;36,99;12,36;2014-01-01 - 2014-12-31;0,41%
ORANGEPL;Telekomunikacja;6,12;BB                       ;4,96;49,3278310489973;-15%;9,13;3,83;1,29;1,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,61;5,25;12,31;6,35;13,84;5,21;2015-01-01 - 2015-12-31;3,95%
ORBIS;Hotele i restauracje;61,2;AAA                      ;8,4;22,0805569667197;-22%;38,7;36,22;15,23;39,4;44,63;39,05;39,17;225,25;61,57;40,01;70,23;46,67;47,99;2014-01-01 - 2014-12-31;2,68%
PEMUG;Budownictwo;0,49;AAA                      ;14,29;7,90815171999523;+73%;0,87;0,86;0,83;0,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,03;0,08;0;1,01;0,92;0,85; - ;brak
PEP;Energetyka;21,1;BB-                      ;4,92;14,8466117752648;-24%;30,75;25,6;1,25;14,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;25,17;14,23;31,73;10,62;43,72;16,00;2005-01-01 - 2005-12-31;3,50%
