Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
06MAGNA;Inne;1,82;AAA                      ;30,07;46,6667839871857;+77%;3,98;3,57;2,45;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,51;Wycena niemozliwa;0,79;Wycena niemozliwa;0,77;3,22;2006-01-01 - 2006-12-31;21,46%
08OCTAVA;Deweloperzy;1,02;AAA                      ;13,49;12,5218712067783;+51%;1,42;1,38;0,98;0,8;1,47;Wycena niemozliwa;Wycena niemozliwa;0,97;1,44;0,91;2,38;2;1,54; - ;brak
11BIT;Informatyka;76,4;AAA                      ;28,08;65,4258368328689;-29%;11,99;8,81;10,06;88,8;18,44;50,4;63,2;33,74;111,03;33,96;137,68;48,14;54,27; - ;brak
4FUNMEDIA;Media;4,88;AAA                      ;8,55;45,5764980927772;+10%;7;3,35;3,69;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,06;Wycena niemozliwa;4,83;Wycena niemozliwa;5,25;5,34;2012-01-01 - 2012-12-31;10,73%
ABCDATA;Handel hurtowy;3,28;BBB                      ;6,03;22,2247993861491;+24%;2,27;1,9;-0,04;3,6;3,96;2,93;3,16;2,21;3,48;11,59;4,67;16,85;4,07;2014-01-01 - 2014-12-31;9,38%
ABPL;Handel hurtowy;31,55;BBB+                     ;6,39;47,6242497055161;+49%;33,08;29,09;0,49;41;42,56;37,04;38,36;32,25;41,13;121,92;47,2;168,16;46,91;2015-01-01 - 2015-12-31;2,00%
ACAUTOGAZ;Motoryzacyjny;29,39;AAA                      ;9,45;67,1971825879794;-20%;10,3;10,07;5;22,17;17,4;16,24;18,21;21;44,03;16,28;47,49;17,67;23,63;2014-01-01 - 2014-12-31;6,76%
ACTION;Handel hurtowy;24,01;BBB                      ;5,95;43,6774311493778;-9%;20,37;19,04;-4,81;24,59;28,1;22,27;23,04;19,86;22,99;91,76;21,98;125,47;21,79;2014-01-01 - 2014-12-31;2,57%
AGORA;Media;11;AAA                      ;9,03;48,4570619383534;+55%;24,19;15,23;9,94;1,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;31,29;0,91;26,1;Wycena niemozliwa;26,22;17,06;2011-01-01 - 2011-12-31;10,72%
AGROWILL;Spożywczy;1,4;BBB-                     ;5,79;12,4164784297046;+21%;1,49;1,49;0,11;2,2;2,98;1,84;1,96;2,78;1,98;0,62;1,81;Wycena niemozliwa;1,70; - ;brak
AILLERON;Informatyka;5,82;AAA                      ;8,69;33,8659434694044;+54%;5,31;1,64;1,92;7,6;8,25;6,46;6,84;14,94;10,14;12,42;10,67;13,32;8,94; - ;brak
ALCHEMIA;Metalowy;5;AA+                      ;7,73;13,9167605;-57%;2,99;2,84;1,27;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,53;Wycena niemozliwa;3,02;Wycena niemozliwa;3,2;2,13; - ;brak
ALIOR;Banki;59,2;B-                       ;4,01;62,5262773919095;-18%;47,73;42,67;-100,47;51;Wycena niemozliwa;49,36;49,91;40,92;68,38;76,47;Wycena niemozliwa;278,17;48,54; - ;brak
ALTA;Deweloperzy;2,42;AAA                      ;55,77;29,950812974594;> +250%;12,09;12,09;5,94;10,3;12,58;Wycena niemozliwa;Wycena niemozliwa;8,26;12,98;0,98;15,02;1,38;10,46;2010-01-01 - 2010-12-31;1,00%
ALUMETAL;Metalowy;48;AAA                      ;9,05;43,0151015779268;-1%;23,72;23,61;9,98;49,9;42,02;36,81;41,17;27,99;60,38;62,81;59,42;71,15;47,45;2014-01-01 - 2014-12-31;3,17%
AMBRA;Spożywczy;7,11;AAA                      ;8,27;28,9209463981004;+70%;10,39;8;4,18;10;12,55;Wycena niemozliwa;Wycena niemozliwa;19,35;8,74;9,54;10,33;12,6;12,09;2015-01-01 - 2015-12-31;5,68%
AMICA;Elektromasz.;159;A-                       ;6,41;50,4045324196334;-7%;73,46;67,31;17,18;118;140,27;95,73;103,15;114,25;172;221,34;225,93;293,51;147,86;2014-01-01 - 2014-12-31;1,78%
AMREST;Hotele i restauracje;169,2;BB-                      ;4,81;36,4231732478334;-43%;50,99;-4,07;-5,61;57,3;52,98;54,14;55,2;103,58;93,6;219,04;69,53;238,13;96,12; - ;brak
